patient|34:1|34:1|patient|35:1|35:1|1|1
patient|45:1|45:1|patient|46:1|46:1|1|1
patient|104:1|104:1|patient|109:3|109:3|1|1
patient|37:1|37:1|patient|45:1|45:1|1|1
patient|32:1|32:1|He|31:0|31:0|1|1
patient|101:1|101:1|patient|105:1|105:1|1|1
patient|34:1|34:1|He|31:0|31:0|1|1
patient|102:7|102:7|patient|105:1|105:1|1|1
patient|37:1|37:1|He|31:0|31:0|1|1
patient|103:1|103:1|patient|105:1|105:1|1|1
it|105:17|105:17|It|107:0|107:0|1|1
patient|33:1|33:1|patient|37:1|37:1|1|1
patient|33:1|33:1|He|31:0|31:0|1|1
patient|102:7|102:7|patient|104:1|104:1|1|1
he|107:5|107:5|he|107:13|107:13|1|1
patient|32:1|32:1|patient|37:1|37:1|1|1
physical therapy|107:17|107:18|Xalatan|122:1|122:1|3|1
patient|36:6|36:6|patient|37:1|37:1|1|1
He|68:0|68:0|He|70:0|70:0|1|1
patient|109:3|109:3|patient|111:1|111:1|1|1
He|66:0|66:0|He|68:0|68:0|1|1
physical therapy|107:17|107:18|Prednisone|121:1|121:1|3|1
patient|35:1|35:1|patient|37:1|37:1|1|1
patient|36:6|36:6|He|39:0|39:0|1|1
patient|32:1|32:1|patient|34:1|34:1|1|1
red blood cells|83:9|83:11|Electrocardiogram|84:0|84:0|2|1
patient|104:1|104:1|patient|105:1|105:1|1|1
patient|35:1|35:1|patient|45:1|45:1|1|1
patient|42:1|42:1|patient|43:4|43:4|1|1
Levaquin|119:1|119:1|Lasix|120:1|120:1|3|1
patient|45:1|45:1|he|47:1|47:1|1|1
Atonic bladder|53:1|53:2|colon cancer|56:3|56:4|4|1
patient|42:1|42:1|He|39:0|39:0|1|1
patient|32:1|32:1|patient|35:1|35:1|1|1
patient|86:1|86:1|He|87:0|87:0|1|1
He|67:0|67:0|He|68:0|68:0|1|1
patient|103:1|103:1|patient|104:1|104:1|1|1
patient|37:1|37:1|He|39:0|39:0|1|1
patient|37:1|37:1|patient|46:1|46:1|1|1
patient|111:1|111:1|He|113:0|113:0|1|1
patient|91:10|91:10|He|90:0|90:0|1|1
patient|36:6|36:6|he|34:14|34:14|1|1
the opacities|94:6|94:7|pneumonia|95:8|95:8|4|1
patient|105:1|105:1|patient|109:3|109:3|1|1
patient|101:1|101:1|patient|102:7|102:7|1|1
patient|46:1|46:1|he|47:1|47:1|1|1
patient|93:2|93:2|patient|95:1|95:1|1|1
patient|32:1|32:1|patient|33:1|33:1|1|1
He|67:0|67:0|He|70:0|70:0|1|1
He|90:0|90:0|he|90:8|90:8|1|1
patient|33:1|33:1|patient|34:1|34:1|1|1
patient|42:1|42:1|he|47:1|47:1|1|1
patient|34:1|34:1|patient|37:1|37:1|1|1
patient|33:1|33:1|patient|35:1|35:1|1|1
patient|42:1|42:1|patient|45:1|45:1|1|1
patient|91:10|91:10|He|89:0|89:0|1|1
patient|35:1|35:1|patient|46:1|46:1|1|1
patient|101:1|101:1|patient|104:1|104:1|1|1
patient|35:1|35:1|He|31:0|31:0|1|1
patient|102:7|102:7|patient|103:1|103:1|1|1
Severe chronic obstructive pulmonary disease|21:0|21:4|Coronary artery disease|27:0|27:2|4
Severe chronic obstructive pulmonary disease|21:0|21:4|severe chronic obstructive pulmonary disease|30:9|30:13|4
Respiratory failure|22:0|22:1|Congestive heart failure|23:0|23:2|4
Right lower lobe pneumonia|24:0|24:3|pneumonia|24:3|24:3|4
Right lower lobe pneumonia|24:0|24:3|pneumonia|30:31|30:31|4
pneumonia|24:3|24:3|pneumonia|30:31|30:31|4
suprapubic catheter|25:3|25:4|suprapubic catheter|32:18|32:19|3
suprapubic catheter|25:3|25:4|a suprapubic catheter area|32:17|32:20|3
suprapubic catheter|25:3|25:4|suprapubic catheter|33:10|33:11|3
suprapubic catheter|25:3|25:4|his suprapubic catheter|33:9|33:11|3
suprapubic catheter|25:3|25:4|his catheter|34:21|34:22|3
Coronary artery disease|27:0|27:2|severe chronic obstructive pulmonary disease|30:9|30:13|4
respiratory insuffiencey|30:25|30:26|recent upper respiratory infections|38:4|38:7|4
respiratory insuffiencey|30:25|30:26|moderate respiratory distress|43:16|43:18|4
suprapubic catheter|32:18|32:19|a suprapubic catheter area|32:17|32:20|3
suprapubic catheter|32:18|32:19|suprapubic catheter|33:10|33:11|3
suprapubic catheter|32:18|32:19|his suprapubic catheter|33:9|33:11|3
suprapubic catheter|32:18|32:19|his catheter|34:21|34:22|3
discomfort|32:15|32:15|discomfort|33:14|33:14|4
a suprapubic catheter area|32:17|32:20|suprapubic catheter|33:10|33:11|3
a suprapubic catheter area|32:17|32:20|his suprapubic catheter|33:9|33:11|3
a suprapubic catheter area|32:17|32:20|his catheter|34:21|34:22|3
suprapubic catheter|33:10|33:11|his suprapubic catheter|33:9|33:11|3
suprapubic catheter|33:10|33:11|his catheter|34:21|34:22|3
his suprapubic catheter|33:9|33:11|his catheter|34:21|34:22|3
his suprapubic catheter|33:9|33:11|his usual medications|42:5|42:7|3
his suprapubic catheter|33:9|33:11|his nasal oxygen at home|42:10|42:14|3
his catheter|34:21|34:22|his usual medications|42:5|42:7|3
his catheter|34:21|34:22|his nasal oxygen at home|42:10|42:14|3
slight shortness of breath|35:6|35:9|shortness of breath|35:7|35:9|4
slight shortness of breath|35:6|35:9|increasing shortness of breath|36:8|36:11|4
slight shortness of breath|35:6|35:9|shortness of breath|36:9|36:11|4
slight shortness of breath|35:6|35:9|shortness of breath|37:20|37:22|4
shortness of breath|35:7|35:9|increasing shortness of breath|36:8|36:11|4
shortness of breath|35:7|35:9|shortness of breath|36:9|36:11|4
shortness of breath|35:7|35:9|shortness of breath|37:20|37:22|4
increasing shortness of breath|36:8|36:11|shortness of breath|36:9|36:11|4
increasing shortness of breath|36:8|36:11|shortness of breath|37:20|37:22|4
shortness of breath|36:9|36:11|shortness of breath|37:20|37:22|4
recent upper respiratory infections|38:4|38:7|moderate respiratory distress|43:16|43:18|4
change in cough|38:16|38:18|scarring in both lungs|48:26|48:29|4
change in cough|38:16|38:18|new air space opacifications in the left apex and the right lower lobe|49:2|49:14|4
his usual medications|42:5|42:7|his nasal oxygen at home|42:10|42:14|3
his nasal oxygen at home|42:10|42:14|nasal oxygen|42:11|42:12|3
his nasal oxygen at home|42:10|42:14|nasal oxygen|47:24|47:25|3
nasal oxygen|42:11|42:12|nasal oxygen|47:24|47:25|3
