patient|21:6 21:6|patient|26:4 26:4|1
patient|21:6 21:6|she|22:4 22:4|1
patient|21:6 21:6|she|27:8 27:8|1
patient|21:6 21:6|She|28:4 28:4|1
patient|21:6 21:6|she|30:1 30:1|1
patient|21:6 21:6|She|31:1 31:1|1
patient|26:4 26:4|she|22:4 22:4|1
patient|26:4 26:4|she|27:8 27:8|1
patient|26:4 26:4|She|28:4 28:4|1
patient|26:4 26:4|she|30:1 30:1|1
patient|26:4 26:4|She|31:1 31:1|1
child|43:3 43:3|She|28:4 28:4|1
child|43:3 43:3|she|30:1 30:1|1
child|43:3 43:3|She|31:1 31:1|1
she|22:4 22:4|she|27:8 27:8|1
she|22:4 22:4|She|28:4 28:4|1
she|22:4 22:4|she|30:1 30:1|1
she|22:4 22:4|She|31:1 31:1|1
she|27:8 27:8|She|28:4 28:4|1
she|27:8 27:8|she|30:1 30:1|1
she|27:8 27:8|She|31:1 31:1|1
She|28:4 28:4|she|30:1 30:1|1
She|28:4 28:4|She|31:1 31:1|1
she|30:1 30:1|She|31:1 31:1|1
she|81:7 81:7|she|82:2 82:2|1
she|81:7 81:7|she|83:1 83:1|1
she|81:7 81:7|she|83:10 83:10|1
she|81:7 81:7|she|85:7 85:7|1
she|81:7 81:7|She|86:4 86:4|1
she|82:2 82:2|she|83:1 83:1|1
she|82:2 82:2|she|83:10 83:10|1
she|82:2 82:2|she|85:7 85:7|1
she|82:2 82:2|She|86:4 86:4|1
she|83:1 83:1|she|83:10 83:10|1
she|83:1 83:1|she|85:7 85:7|1
she|83:1 83:1|She|86:4 86:4|1
she|83:10 83:10|she|85:7 85:7|1
she|83:10 83:10|She|86:4 86:4|1
she|85:7 85:7|She|86:4 86:4|1
You|151:0 151:0|You|151:0 151:0|1
You|151:0 151:0|You|151:0 151:0|1
You|151:0 151:0|You|153:0 153:0|1
You|151:0 151:0|You|153:0 153:0|1
You|151:0 151:0|You|153:0 153:0|1
You|151:0 151:0|You|151:0 151:0|1
You|151:0 151:0|You|153:0 153:0|1
You|151:0 151:0|You|153:0 153:0|1
You|151:0 151:0|You|153:0 153:0|1
You|151:0 151:0|You|153:0 153:0|1
You|151:0 151:0|You|153:0 153:0|1
You|151:0 151:0|You|153:0 153:0|1
You|153:0 153:0|You|153:0 153:0|1
You|153:0 153:0|You|153:0 153:0|1
You|153:0 153:0|You|153:0 153:0|1
You|179:0 179:0|You|179:0 179:0|1
You|179:0 179:0|You|179:0 179:0|1
You|179:0 179:0|You|182:0 182:0|1
You|179:0 179:0|You|182:0 182:0|1
You|179:0 179:0|You|182:0 182:0|1
You|179:0 179:0|You|179:0 179:0|1
You|179:0 179:0|You|182:0 182:0|1
You|179:0 179:0|You|182:0 182:0|1
You|179:0 179:0|You|182:0 182:0|1
You|179:0 179:0|You|182:0 182:0|1
You|179:0 179:0|You|182:0 182:0|1
You|179:0 179:0|You|182:0 182:0|1
You|182:0 182:0|You|182:0 182:0|1
You|182:0 182:0|You|182:0 182:0|1
You|182:0 182:0|You|182:0 182:0|1
Codeine|8:0 8:0|cranioplasty|15:1 15:1|3
Codeine|8:0 8:0|The AVM|20:2 20:3|3
Codeine|8:0 8:0|stereotactic radiosurgery|20:7 20:8|3
Skull defect|12:0 12:1|left frontal AVM in the supplementary|19:6 19:11|4
Skull defect|12:0 12:1|a seizure|21:8 21:9|4
Skull defect|12:0 12:1|headaches|23:0 23:0|4
Skull defect|12:0 12:1|a contrast enhancing lesion|24:3 24:6|4
Skull defect|12:0 12:1|massive focal residual edema|25:1 25:4|4
cranioplasty|15:1 15:1|The AVM|20:2 20:3|3
cranioplasty|15:1 15:1|stereotactic radiosurgery|20:7 20:8|3
cranioplasty|15:1 15:1|a left craniotomy|27:8 27:10|3
left frontal AVM in the supplementary|19:6 19:11|a seizure|21:8 21:9|4
left frontal AVM in the supplementary|19:6 19:11|headaches|23:0 23:0|4
left frontal AVM in the supplementary|19:6 19:11|a contrast enhancing lesion|24:3 24:6|4
